date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,EFFR,DTB3,T10YIE,DGS10,GC=F,CL=F
2008-01-31,NTAP,22.90999984741211,23.71999931335449,22.799999237060547,18.136890411376957,6792600.0,3.0,-0.0087755909952491,19.306770990439983,16.137483694008253,47.162500339236765,36.033228390532926,3.906900967452394,17.793950307936896,17.793950307936896,3.22,1.92,2.34,3.67,922.7000122070312,91.75
2008-02-01,NTAP,23.3700008392334,23.93000030517578,22.950000762939453,18.57429313659668,5708500.0,4.0,0.053436485903429,19.064521120419467,16.28053541339401,50.90069601235776,58.70730158055842,0.2314941479153673,17.82942043651234,17.82942043651234,3.12,2.06,2.31,3.62,908.7000122070312,88.95999908447266
2008-02-04,NTAP,24.0,24.030000686645508,23.299999237060547,18.3634033203125,4622300.0,0.0,0.0867239696328745,18.916149370673825,16.360171277519537,49.165773705381774,63.34541061699428,2.213972129746997,17.852637083634086,17.852637083634086,2.82,2.22,2.3,3.68,904.9000244140624,90.0199966430664
2008-02-05,NTAP,22.780000686645508,23.11000061035156,22.46999931335449,17.590129852294922,5007700.0,1.0,0.0583938432262058,18.895291470847365,16.3505676752708,43.53697958705579,-16.843061163811463,13.1056044703922,17.84169928232829,17.84169928232829,2.71,2.14,2.27,3.61,885.9000244140625,88.41000366210938
2008-02-06,NTAP,22.709999084472656,22.770000457763672,21.549999237060547,16.879322052001953,5590500.0,2.0,-0.0137284139086801,18.9090958720121,16.284429633053822,39.262593013986034,-78.16625111885558,26.209757118667333,17.803204193115235,17.803204193115235,2.94,2.05,2.25,3.61,900.7000122070312,87.13999938964844
2008-02-07,NTAP,21.51000022888184,22.26000022888184,20.100000381469727,17.058984756469727,9878500.0,3.0,-0.0570957647087162,18.879697467998845,16.22947039393963,40.78276467773331,-126.5275490479746,41.15959058828373,17.774580368628868,17.774580368628868,3.03,2.12,2.27,3.74,906.0999755859376,88.11000061035156
2008-02-08,NTAP,21.700000762939453,22.709999084472656,21.6299991607666,17.55107307434082,6967300.0,4.0,-0.0553376285451747,18.856874381158743,16.221831025030223,44.70413131951615,-47.04029460666004,32.26953095084277,17.766302320692276,17.766302320692276,3.05,2.18,2.28,3.64,918.4000244140624,91.7699966430664
2008-02-11,NTAP,22.399999618530277,22.690000534057617,21.979999542236328,17.332359313964844,5974000.0,0.0,-0.0689608262238117,18.82336836810529,16.20144108776629,43.38323843850735,-42.46477588425569,32.26953095084278,17.750804356166295,17.750804356166295,2.88,2.25,2.3,3.62,922.9000244140624,93.58999633789062
2008-02-12,NTAP,22.40999984741211,22.40999984741211,21.309999465942383,16.81684684753418,8367200.0,1.0,-0.11594964324496,18.719949595386147,16.15176652247274,40.46772497955666,-85.80912231247393,38.82439095629348,17.718598924834154,17.718598924834154,2.91,2.25,2.3,3.66,907.4000244140624,92.77999877929688
2008-02-13,NTAP,22.190000534057617,23.38999938964844,21.809999465942383,17.996292114257812,12040900.0,2.0,-0.0656231338207966,18.760854665336424,16.148354013862793,48.63735419978342,-0.8009312129074524,20.57854174454441,17.72785536448161,17.72785536448161,3.02,2.22,2.28,3.7,906.5,93.2699966430664
2008-02-14,NTAP,22.649999618530277,22.65999984741211,21.6200008392334,16.941823959350586,15753300.0,3.0,-0.1026772200388244,18.760288254915874,16.10908506661733,43.1595589113708,-61.43404122956785,22.68451605064856,17.651569175720216,17.702499512703188,3.03,2.26,2.28,3.85,907.4000244140624,95.45999908447266
2008-02-15,NTAP,21.6299991607666,21.770000457763672,21.11000061035156,16.715309143066406,6203600.0,4.0,-0.1471152657964758,18.772144721912536,16.055050827098693,42.1057457398285,-111.88360143025538,28.151134133498907,17.55653699239095,17.67164981365204,2.97,2.16,2.28,3.76,902.7999877929688,95.5
2008-02-19,NTAP,21.739999771118164,22.149999618530277,21.290000915527344,16.645009994506836,6372200.0,1.0,-0.1853549363575588,18.784286801617327,15.98510845442515,41.77824407266028,-87.58375553271033,21.31899024389904,17.476345252990722,17.640539516102184,2.94,2.23,2.33,3.89,926.5999755859376,100.01000213623048
2008-02-20,NTAP,21.290000915527344,21.6299991607666,21.280000686645508,16.74654769897461,6377300.0,2.0,-0.2055531953966323,18.768911208891677,16.02391716024895,42.44711113794613,-96.2370385395632,21.436817189155025,17.43807201385498,17.614245639127844,3.0,2.2,2.38,3.93,934.5999755859376,100.73999786376952
2008-02-21,NTAP,21.59000015258789,22.059999465942383,21.440000534057617,16.801227569580078,6074600.0,3.0,-0.2148876426832799,18.66134302145833,16.219748859340008,42.813105520619246,-66.99169703946086,13.61625989573369,17.4180243174235,17.591016551426478,3.01,2.15,2.34,3.77,946.0999755859376,98.2300033569336
2008-02-22,NTAP,21.65999984741211,22.100000381469727,21.43000030517578,17.262062072753906,5132400.0,4.0,-0.1850601331854875,18.659287748293828,16.213992586178826,45.8171732304009,-45.60124967203071,12.893289825542242,17.396674346923827,17.581878927018906,2.97,2.15,2.35,3.79,944.7000122070312,98.80999755859376
2008-02-25,NTAP,22.09000015258789,23.09000015258789,22.049999237060547,17.871318817138672,10345200.0,0.0,-0.1135771255365334,18.699284460840257,16.224767396154373,49.44897226064722,38.38055558556399,3.3735988029316126,17.397195053100585,17.589701626751875,3.0,2.15,2.38,3.91,937.5999755859376,99.2300033569336
2008-02-26,NTAP,22.8700008392334,23.540000915527344,22.520000457763672,18.066591262817383,5929600.0,1.0,-0.0415269042625183,18.730054676762208,16.217430293330565,50.54799810097822,79.92428745313802,9.69604289332099,17.403704134623208,17.602251354016754,2.85,2.09,2.44,3.88,946.0999755859376,100.87999725341795
2008-02-27,NTAP,22.959999084472656,24.0,22.8700008392334,18.457128524780277,6346400.0,2.0,0.0450671334261549,18.810118022812397,16.184232410537216,52.67661958991242,124.41115546479392,15.721803052944344,17.407349077860513,17.62417128147223,2.93,1.94,2.43,3.85,958.2000122070312,99.63999938964844
2008-02-28,NTAP,23.559999465942383,23.559999465942383,22.489999771118164,17.636987686157227,9567400.0,3.0,0.0496764984271074,18.75247249910499,16.191887661722646,48.17199678382813,62.351435430172586,9.282382900440604,17.40786978403727,17.624491691589355,3.06,1.86,2.45,3.71,964.5,102.58999633789062
2008-02-29,NTAP,22.190000534057617,22.239999771118164,21.3700008392334,16.88714027404785,9589000.0,4.0,-0.0047517865992148,18.675293674593764,16.144091472500964,44.567331983226886,-53.28454769181203,7.018930436636653,17.392768541971844,17.60650751067371,3.01,1.81,2.43,3.53,972.0999755859376,101.83999633789062
2008-03-03,NTAP,21.61000061035156,22.959999084472656,21.61000061035156,17.590129852294922,9065100.0,0.0,0.0067290935012955,18.50628943267479,16.21467938598976,48.31800137026079,7.18333507172105,2.931231079582252,17.407869974772137,17.606117566426594,3.1,1.67,2.46,3.54,981.5,102.4499969482422
